Year;Location_Code;District;Municipality;Parish;Sex;Age;Population;Notes;Population_corrected
2021;320101;Ilha de Porto Santo;Porto Santo;Porto Santo;F;25 - 64 year old;1528;;1528
2021;111102;Lisboa;Sintra;Algueirão-Mem Martins;F;15 - 24 year old;4142;;4142
2021;31242;Braga;Vila Nova de Famalicão;Oliveira (São Mateus);F;0 - 14 year old;121;;121
2021;20703;Beja;Cuba;Vila Alva;F;25 - 64 year old;75;;75
2021;182306;Viseu;Viseu;Campo;M;65 and older;499;;499
2021;90757;Guarda;Guarda;Gonçalo;F;65 and older;218;;218
2021;160411;Viana do Castelo;Monção;Longos Vales;F;65 and older;190;;190
2021;90620;Guarda;Gouveia;Vila Franca da Serra;M;65 and older;37;;37
2021;40232;Bragança;Bragança;Quintanilha;F;0 - 14 year old;5;;5
2021;80503;Faro;Faro;Santa Bárbara de Nexe;F;25 - 64 year old;1089;;1089
2021;180414;Viseu;Cinfães;Souselo;F;15 - 24 year old;160;;160
2021;31340;Braga;Vila Verde;Sabariz;F;65 and older;44;;44
2021;420605;Ilha de São Miguel;Vila Franca do Campo;Vila Franca do Campo (São Pedro);M;25 - 64 year old;400;;400
2021;480201;Ilha das Flores;Santa Cruz das Flores;Caveira;F;0 - 14 year old;9;;9
2021;160124;Viana do Castelo;Arcos de Valdevez;Paçô;M;65 and older;113;;113
2021;141601;Santarém;Santarém;Abitureiras;M;0 - 14 year old;45;;45
2021;310301;Ilha da Madeira;Funchal;Imaculado Coração de Maria;M;15 - 24 year old;307;;307
2021;61102;Coimbra;Oliveira do Hospital;Alvoco das Várzeas;F;15 - 24 year old;12;;12
2021;61603;Coimbra;Tábua;Carapinha;F;65 and older;67;;67
2021;90624;Guarda;Gouveia;União das freguesias de Figueiró da Serra e Freixo da Serra;M;15 - 24 year old;14;;14
2021;70415;Évora;Estremoz;União das freguesias de São Bento do Cortiço e Santo Estêvão;M;25 - 64 year old;166;;166
2021;61302;Coimbra;Penacova;Figueira de Lorvão;F;65 and older;394;;394
2021;30807;Braga;Guimarães;Brito;M;15 - 24 year old;339;;339
2021;70910;Évora;Portel;União das freguesias de São Bartolomeu do Outeiro e Oriola;M;0 - 14 year old;55;;55
2021;90325;Guarda;Celorico da Beira;União das freguesias de Cortiçô da Serra, Vide entre Vinhas e Salgueirais;M;15 - 24 year old;12;;12
2021;41022;Bragança;Vila Flor;União das freguesias de Valtorno e Mourão;F;25 - 64 year old;54;;54
2021;90908;Guarda;Mêda;Marialva;F;65 and older;50;;50
2021;61310;Coimbra;Penacova;Sazes do Lorvão;M;0 - 14 year old;26;;26
2021;90310;Guarda;Celorico da Beira;Mesquitela;M;15 - 24 year old;13;;13
2021;180619;Viseu;Mangualde;União das freguesias de Mangualde, Mesquitela e Cunha Alta;M;0 - 14 year old;608;;608
2021;100403;Leiria;Batalha;São Mamede;M;15 - 24 year old;157;;157
2021;50230;Castelo Branco;Castelo Branco;União das freguesias de Ninho do Açor e Sobral do Campo;M;25 - 64 year old;128;;128
2021;150104;Setúbal;Alcácer do Sal;Torrão;M;15 - 24 year old;93;;93
2021;11906;Aveiro;Arões;Macieira de Cambra;F;0 - 14 year old;218;;218
2021;130207;Porto;Baião;Grilo;M;65 and older;38;;38
2021;100901;Leiria;Leiria;Amor;M;25 - 64 year old;1158;;1158
2021;60515;Coimbra;Figueira da Foz;Bom Sucesso;M;15 - 24 year old;75;;75
2021;180327;Viseu;Castro Daire;União das freguesias de Reriz e Gafanhão;F;0 - 14 year old;28;;28
2021;310905;Ilha da Madeira;Santana;São Roque do Faial;F;15 - 24 year old;41;;41
2021;20910;Beja;Mértola;União das freguesias de São Miguel do Pinheiro, São Pedro de Solis e São Sebastião dos Carros;M;0 - 14 year old;26;;26
2021;80206;Faro;Alcoutim;União das freguesias de Alcoutim e Pereiro;M;15 - 24 year old;37;;37
2021;130515;Porto;Lousada;Nevogilde;M;65 and older;177;;177
2021;60122;Coimbra;Arganil;União das freguesias de Vila Cova de Alva e Anseriz;F;0 - 14 year old;17;;17
2021;181905;Viseu;Tabuaço;Desejosa;F;65 and older;14;;14
2021;110501;Lisboa;Cascais;Alcabideche;M;0 - 14 year old;3407;;3407
2021;180122;Viseu;Armamar;União das freguesias de São Romão e Santiago;F;65 and older;51;;51
2021;130526;Porto;Lousada;Vilar do Torno e Alentém;F;65 and older;146;;146
2021;30725;Braga;Fafe;Ribeiros;F;15 - 24 year old;29;;29
2021;142006;Santarém;Vila Nova da Barquinha;Vila Nova da Barquinha;F;15 - 24 year old;167;;167
2021;91125;Guarda;Sabugal;Rapoula do Côa;M;65 and older;49;;49
2021;310501;Ilha da Madeira;Ponta do Sol;Canhas;M;65 and older;274;;274
2021;160628;Viana do Castelo;Ponte da Barca;União das freguesias de Ponte da Barca, Vila Nova de Muía e Paço Vedro de Magalhães;M;65 and older;461;;461
2021;90619;Guarda;Gouveia;Vila Cortês da Serra;F;15 - 24 year old;6;;6
2021;80809;Faro;Loulé;Loulé (São Sebastião);F;65 and older;934;;934
2021;150903;Setúbal;Santiago do Cacém;Cercal;M;25 - 64 year old;757;;757
2021;430117;Ilha Terceira;Angra do Heroísmo;Serreta;M;15 - 24 year old;17;;17
2021;180322;Viseu;Castro Daire;São Joaninho;F;15 - 24 year old;16;;16
2021;70525;Évora;Évora;União das freguesias de Nossa Senhora da Tourega e Nossa Senhora de Guadalupe;F;15 - 24 year old;52;;52
2021;160920;Viana do Castelo;Viana do Castelo;Montaria;M;0 - 14 year old;14;;14
2021;30521;Braga;Celorico de Basto;Vale de Bouro;M;15 - 24 year old;49;;49
2021;180510;Viseu;Lamego;Lalim;M;0 - 14 year old;29;;29
2021;30357;Braga;Braga;Tebosa;M;15 - 24 year old;55;;55
2021;450202;Ilha de São Jorge;Velas;Norte Grande (Neves);M;65 and older;53;;53
2021;21106;Beja;Odemira;São Luís;F;25 - 64 year old;468;;468
2021;110812;Lisboa;Lourinhã;União das freguesias de Lourinhã e Atalaia;M;25 - 64 year old;3028;;3028
2021;171401;Vila Real;Vila Real;Abaças;F;0 - 14 year old;29;;29
2021;311002;Ilha da Madeira;São Vicente;Ponta Delgada;F;65 and older;185;;185
2021;30739;Braga;Fafe;União de freguesias de Antime e Silvares (São Clemente);F;65 and older;263;;263
2021;90912;Guarda;Mêda;Poço do Canto;F;0 - 14 year old;9;;9
2021;20523;Beja;Beja;União das freguesias de Santa Vitória e Mombeja;M;0 - 14 year old;48;;48
2021;91309;Guarda;Trancoso;Granja;F;15 - 24 year old;4;;4
2021;90224;Guarda;Almeida;São Pedro de Rio Seco;F;0 - 14 year old;1;;1
2021;181608;Viseu;São Pedro do Sul;Pindelo dos Milagres;M;65 and older;110;;110
2021;21119;Beja;Odemira;Santa Clara-a-Velha;M;65 and older;117;;117
